35.01.01.2001                                                                             1 Widoro
35.01.09.2011                                                                       11 Tahunan Baru                             Perbup No.32/2006 dg Persetujuan DPRD No. 13/2006
35.01.10.2001                                                                        1 Jetak
35.01.10.2002                                                                        2 Nglaran
35.01.10.2003                                                                        3 Wonoanti
35.01.10.2004                                                                        4 Padi
35.01.10.2005                                                                        5 Kluwih
35.01.10.2006                                                                        6 Bungur
35.01.10.2007                                                                        7 Tulakan
35.01.10.2008                                                                        8 Jatigunung
35.01.10.2009                                                                        9 Gasang
35.01.10.2010                                                                       10 Kalikuning
35.01.10.2011                                                                       11 Ngile
35.01.10.2012                                                                       12 Bubakan
35.01.10.2013                                                                       13 Losari
35.01.10.2014                                                                       14 Ngumbul
35.01.10.2015                                                                       15 Wonosidi
35.01.10.2016                                                                       16 Ketro
35.01.11.2001                                                                        1 Sidomulyo
35.01.11.2002                                                                        2 Hadiwarno
35.01.11.2003                                                                        3 Tanjungpuro
35.01.11.2004                                                                        4 Hadiluwih
35.01.11.2005                                                                        5 Pagerejo
35.01.11.2006                                                                        6 Wiyoro
35.01.11.2007                                                                        7 Ngadirojo
35.01.11.2008                                                                        8 Bogoharjo
35.01.11.2009                                                                        9 Cokrokembang
35.01.11.2010                                                                               10 Bodag
35.01.11.2011                                                                               11 Tanjunglor
35.01.11.2012                                                                               12 Nogosari
35.01.11.2013                                                                               13 Cangkring
35.01.11.2014                                                                               14 Wonodadi Wetan                                 Koreksi nama, Surat Bup No 100/885/408.11/2015 tgl 14
35.01.11.2015                                                                               15 Wonodadi Kulon                                 Perubahan nama semula Wonodadi Kidul mjd Wonodadi Wetan.
35.01.11.2016                                                                               16 Wonokarto
35.01.11.2017                                                                               17 Wonosobo                                       Perbup. No. 31/2006 dg Persetujuan DPRD No. 13/2006
35.01.11.2018                                                                               18 Wonoasri                                       Perbup. No. 31/2006 dg Persetujuan DPRD No. 13/2006
35.01.12.2001                                                                                1 Pagerkidul
35.01.12.2002                                                                                2 Pagerlor
35.01.12.2003                                                                                3 Sukorejo                                       Perbaikan nama, Srt Bupati No 100/885/408.11/2015 tgl 14 Sep
35.01.12.2004                                                                                4 Sudimoro
35.01.12.2005                                                                                5 Ketanggung
35.01.12.2006                                                                                6 Klepu
35.01.12.2007                                                                                7 Sembowo                                        Perbup. No. 27/2006 dg Persetujuan DPRD No. 13/2006
35.01.12.2008                                                                                8 Karangmulyo                                    Perbup. No. 28/2006 dg Persetujuan DPRD No. 13/2006
35.01.12.2009                                                                                9 Gunungrejo                                     Perbup. No. 29/2006 dg Persetujuan DPRD No. 13/2006
35.01.12.2010                                                                               10 Sumberejo                                      Perbup. No. 30/2006 dg Persetujuan DPRD No. 13/2006
35.02.01.2001                                                                                1 Tugurejo
35.02.01.2002                                                                                2 Senepo
35.02.01.2003                                                                                3 Slahung
35.02.01.2004                                                                                4 Caluk
35.02.01.2005                                                                                5 Broto
35.02.01.2006                                                                                6 Menggare
35.02.01.2007                                                                                7 Kambeng
35.02.01.2008                                                                                8 Wates
35.02.01.2009                                                                       9 Ngilo-Ilo
35.02.01.2010                                                                      10 Duri
35.02.01.2011                                                                      11 Ngloning
35.02.01.2012                                                                      12 Plancungan
35.02.01.2013                                                                      13 Jebeng
35.02.01.2014                                                                      14 Galak
35.02.01.2015                                                                      15 Truneng
35.02.01.2016                                                                      16 Simo
35.02.01.2017                                                                      17 Crabak
35.02.01.2018                                                                      18 Mojopitu
35.02.01.2019                                                                      19 Gundik
35.02.01.2020                                                                      20 Nailan
35.02.01.2021                                                                      21 Gombang
35.02.01.2022                                                                      22 Janti
35.02.02.2001                                                                       1 Wonodadi
35.02.02.2002                                                                       2 Sendang
35.02.02.2003                                                                       3 Baosan Kidul
35.02.02.2004                                                                       4 Binade
35.02.02.2005                                                                       5 Mrayan
35.02.02.2006                                                                       6 Baosan Lor
35.02.02.2007                                                                       7 Temon
35.02.02.2008                                                                       8 Selur
35.02.02.2009                                                                       9 Ngrayun
35.02.02.2010                                                                      10 Cepoko
35.02.02.2011                                                                      11 Gedangan                                 SK Bup. No. 1439/2007 dengan SK DPRD No. 12/DPRD/2007
35.02.03.2001                                                                       1 Pelem
35.02.03.2002                                                                       2 Koripan
35.02.03.2003                                                                       3 Bekare
35.02.03.2004                                                                       4 Nambak
35.02.03.2005                                                                       5 Kalisat
35.02.03.2006                                                                       6 Munggu
35.02.03.2007                                                                       7 Pager
35.02.03.2008                                                                       8 Belang
35.02.03.2009                                                                       9 Bungkal
35.02.03.2010                                                                      10 Ketonggo
35.02.03.2011                                                                      11 Kunti
35.02.03.2012                                                                      12 Bancar
35.02.03.2013                                                                      13 Padas
35.02.03.2014                                                                      14 Bungu
35.02.03.2015                                                                      15 Kupuk
35.02.03.2016                                                                      16 Sambilawang
35.02.03.2017                                                                      17 Kwajon
35.02.03.2018                                                                      18 Bediwetan
35.02.03.2019                                                                      19 Bedikulon
35.02.04.2001                                                                       1 Gajah
35.02.04.2002                                                                       2 Wringinanom
35.02.04.2003                                                                       3 Ngadisanan
35.02.04.2004                                                                       4 Maguwan
35.02.04.2005                                                                       5 Nglewan
35.02.04.2006                                                                       6 Bedingin
35.02.04.2007                                                                       7 Bancangan
35.02.04.2008                                                                       8 Campurejo
35.02.04.2009                                                                       9 Campursari
35.02.04.2010                                                                      10 Bulu
35.02.04.2011                                                                      11 Sambit
35.02.04.2012                                                                      12 Besuki
35.02.04.2013                                                                      13 Wilangan
35.02.04.2014                                                                      14 Bangsalan
35.02.04.2015                                                                      15 Kemuning
35.02.04.2016                                                                      16 Jrakah                                   Pemekaran desa Gajah Perda No. 9/2011
35.02.05.2001                                                                       1 Tumpuk
35.02.05.2002                                                                       2 Pangkal
35.02.05.2003                                                                       3 Tumpak Pelem
35.02.05.2004                                                                       4 Tempuran
35.02.05.2005                                                                       5 Sriti
35.02.05.2006                                                                       6 Temon
35.02.05.2007                                                                       7 Sawoo
35.02.05.2008                                                                       8 Prayungan
35.02.05.2009                                                                       9 Tugurejo
35.02.05.2010                                                                      10 Grogol
35.02.05.2011                                                                      11 Ketro
35.02.05.2012                                                                      12 Kori
35.02.05.2013                                                                      13 Bondrang
35.02.05.2014                                                                      14 Ngindeng
35.02.06.2001                                                                       1 Ngadirojo
35.02.06.2002                                                                       2 Klepu
35.02.06.2003                                                                       3 Suru
35.02.06.2004                                                                       4 Sooko
35.02.06.2005                                                                       5 Bedoho
35.02.06.2006                                                                       6 Jurug
35.02.07.2001                                                                       1 Karangpatihan
35.02.07.2002                                                                       2 Tegalrejo
35.02.07.2003                                                                       3 Bedrug
35.02.07.2004                                                                       4 Wagir Kidul
35.02.07.2005                                                                       5 Singgahan
35.02.07.2006                                                                       6 Patik
35.02.07.2007                                                                       7 Pulung
35.02.07.2008                                                                       8 Pulung Merdiko
35.02.07.2009                                                                       9 Sidoharjo
35.02.07.2010                                                                      10 Wotan
35.02.07.2011                                                                      11 Plunturan
35.02.07.2012                                                                      12 Pomahan
35.02.07.2013                                                                      13 Kesugihan
35.02.07.2014                                                                      14 Serag
35.02.07.2015                                                                      15 Wayang
35.02.07.2016                                                                      16 Munggung
35.02.07.2017                                                                       17 Bekiring
35.02.07.2018                                                                       18 Banaran
35.02.08.2001                                                                        1 Tugu
35.02.08.2002                                                                        2 Candi
35.02.08.2003                                                                        3 Totokan
35.02.08.2004                                                                        4 Ngrukem
35.02.08.2005                                                                        5 Siwalan
35.02.08.2006                                                                        6 Joresan
35.02.08.2007                                                                        7 Nglumpang
35.02.08.2008                                                                        8 Gontor
35.02.08.2009                                                                        9 Gandu
35.02.08.2010                                                                       10 Jabung
35.02.08.2011                                                                       11 Bajang
35.02.08.2012                                                                       12 Mlarak
35.02.08.2013                                                                       13 Serangan
35.02.08.2014                                                                       14 Suren
35.02.08.2015                                                                       15 Kaponan
35.02.09.2001                                                                        1 Ngasinan
35.02.09.2002                                                                        2 Kutu Kulon
35.02.09.2003                                                                        3 Kutu Wetan
35.02.09.2004                                                                        4 Kradenan
35.02.09.2005                                                                        5 Mojomati
35.02.09.2006                                                                        6 Coper
35.02.09.2007                                                                        7 Mojorejo
35.02.09.2008                                                                        8 Karanggebang
35.02.09.2009                                                                        9 Jetis
35.02.09.2010                                                                       10 Tegalsari
35.02.09.2011                                                                       11 Wonoketro
35.02.09.2012                                                                       12 Josari
35.02.09.2013                                                                       13 Turi
35.02.09.2014                                                                       14 Winong
35.02.10.2001                                                                             1 Demangan
35.02.10.2002                                                                             2 Ngabar
35.02.10.2003                                                                             3 Madusari
35.02.10.2004                                                                             4 Beton
35.02.10.2005                                                                             5 Sekaran
35.02.10.2006                                                                             6 Brahu
35.02.10.2007                                                                             7 Kepuhrubuh
35.02.10.2008                                                                             8 Sawuh
35.02.10.2009                                                                             9 Jarak
35.02.10.2010                                                                            10 Tranjang
35.02.10.2011                                                                            11 Pijeran
35.02.10.2012                                                                            12 Manuk
35.02.10.2013                                                                            13 Siman
35.02.10.2014                                                                            14 Patihan Kidul
35.02.10.2015                                                                            15 Ronosentanan
35.02.10.2016                                                                            16 Tajug
35.02.10.1017                                                      1 Ronowijayan
35.02.10.1018                                                      2 Mangunsuman
35.02.11.2001                                                                             1 Pandak
35.02.11.2002                                                                             2 Bulu Kidul
35.02.11.2003                                                                             3 Bulak
35.02.11.2004                                                                             4 Ngendut
35.02.11.2005                                                                             5 Karangpatihan
35.02.11.2006                                                                             6 Sumberejo
35.02.11.2007                                                                             7 Ngumpul
35.02.11.2008                                                                             8 Ngraket
35.02.11.2009                                                                             9 Dadapan
35.02.11.2010                                                                            10 Singkil
35.02.11.2011                                                                            11 Karangan
35.02.11.2012                                                                            12 Bajang
35.02.11.2013                                                                            13 Balong
35.02.11.2014                                                                            14 Jalen
35.02.11.2015                                                                            15 Karangmojo
35.02.11.2016                                                                       16 Sedarat
35.02.11.2017                                                                       17 Purworejo
35.02.11.2018                                                                       18 Tatung
35.02.11.2019                                                                       19 Muneng
35.02.11.2020                                                                       20 Ngampel
35.02.12.2001                                                                        1 Tegalombo
35.02.12.2002                                                                        2 Nongkodono
35.02.12.2003                                                                        3 Sukosari
35.02.12.2004                                                                        4 Ngrandu
35.02.12.2005                                                                        5 Nglarangan
35.02.12.2006                                                                        6 Bringin
35.02.12.2007                                                                        7 Pengkol
35.02.12.2008                                                                        8 Gabel
35.02.12.2009                                                                        9 Ciluk
35.02.12.2010                                                                       10 Semanding
35.02.12.2011                                                                       11 Tosanan
35.02.12.2012                                                                       12 Maron
35.02.12.2013                                                                       13 Somoroto
35.02.12.2014                                                                       14 Plosojenar
35.02.12.2015                                                                       15 Carat
35.02.12.2016                                                                       16 Kauman
35.02.13.2001                                                                        1 Dayakan
35.02.13.2002                                                                        2 Karangan
35.02.13.2003                                                                        3 Tanjunggunung
35.02.13.2004                                                                        4 Karangjoho
35.02.13.2005                                                                        5 Tanjungrejo
35.02.13.2006                                                                        6 Bandaralim
35.02.13.2007                                                                        7 Kapuran
35.02.13.2008                                                                        8 Watubonang
35.02.13.2009                                                                        9 Biting
35.02.13.2010                                                                       10 Badegan
35.02.14.2001                                                                              1 Sampung
35.02.14.2002                                                                              2 Pohijo
35.02.14.2003                                                                              3 Jenangan
35.02.14.2004                                                                              4 Nglurup
35.02.14.2005                                                                              5 Tulung
35.02.14.2006                                                                              6 Carangrejo
35.02.14.2007                                                                              7 Pagerukir
35.02.14.2008                                                                              8 Kunti
35.02.14.2009                                                                              9 Glinggang
35.02.14.2010                                                                             10 Gelangkulon
35.02.14.2011                                                                             11 Karangwaluh
35.02.14.2012                                                                             12 Ringinputih                               Pemekaran desa Carangrejo Perda No. 9/2011
35.02.15.2001                                                                              1 Sukorejo
35.02.15.2002                                                                              2 Bangunrejo
35.02.15.2003                                                                              3 Sidorejo
35.02.15.2004                                                                              4 Nambangrejo
35.02.15.2005                                                                              5 Lengkong
35.02.15.2006                                                                              6 Gelang Lor
35.02.15.2007                                                                              7 Serangan
35.02.15.2008                                                                              8 Nampan
35.02.15.2009                                                                              9 Kranggan
35.02.15.2010                                                                             10 Golan
35.02.15.2011                                                                             11 Prajegan
35.02.15.2012                                                                             12 Kedungbanteng
35.02.15.2013                                                                             13 Karanglo Lor
35.02.15.2014                                                                             14 Gegeran
35.02.15.2015                                                                             15 Gandukepuh
35.02.15.2016                                                                             16 Kalimalang
35.02.15.2017                                                                             17 Sragi
35.02.15.2018                                                                             18 Morosari
35.02.16.1001                                                      1 Kertosari
35.02.16.2002                                                                              1 Cekok
35.02.16.1003                                                      2 Patihan Wetan
35.02.16.2004                                                                               2 Japan
35.02.16.1005                                                      3 Kadipaten
35.02.16.2006                                                                               3 Gupolo
35.02.16.2007                                                                               4 Polorejo
35.02.16.2008                                                                               5 Bareng
35.02.16.2009                                                                               6 Ngunut
35.02.16.2010                                                                               7 Sukosari
35.02.16.2011                                                                               8 Lembah
35.02.16.2012                                                                               9 Pondok
35.02.16.2013                                                                              10 Babadan
35.02.16.2014                                                                              11 Purwosari
35.02.16.2015                                                                              12 Trisono
35.02.17.1001                                                      1 Paju
35.02.17.1002                                                      2 Brotonegaran
35.02.17.1003                                                      3 Pakunden
35.02.17.1004                                                      4 Kepatihan
35.02.17.1005                                                      5 Surodikraman
35.02.17.1006                                                      6 Purbosuman
35.02.17.1007                                                      7 Tonatan
35.02.17.1008                                                      8 Bangunsari
35.02.17.1009                                                      9 Tamanarum
35.02.17.1010                                                     10 Kauman
35.02.17.1011                                                     11 Tambakbayan
35.02.17.1012                                                     12 Pinggirsari
35.02.17.1013                                                     13 Mangkujayan
35.02.17.1014                                                     14 Banyudono
35.02.17.1015                                                     15 Nologaten
35.02.17.1016                                                     16 Cokromenggalan
35.02.17.1017                                                     17 Keniten
35.02.17.1018                                                     18 Jingglong
35.02.17.1019                                                     19 Beduri
35.02.18.1001                                                      1 Setono
35.02.18.1002                                                      2 Singosaren
35.02.18.2003                                                                               1 Mrican
35.02.18.2004                                                                               2 Plalangan
35.02.18.2005                                                                               3 Nglayang
35.02.18.2006                                                                               4 Jenangan
35.02.18.2007                                                                               5 Jimbe
35.02.18.2008                                                                               6 Ngrupit
35.02.18.2009                                                                               7 Pintu
35.02.18.2010                                                                               8 Sedah
35.02.18.2011                                                                               9 Panjeng
35.02.18.2012                                                                              10 Sraten
35.02.18.2013                                                                              11 Semanding
35.02.18.2014                                                                              12 Tanjungsari
35.02.18.2015                                                                              13 Paringan
35.02.18.2016                                                                              14 Wates
35.02.18.2017                                                                              15 Kemiri
35.02.19.2001                                                                               1 Ngrogung
