36.01.01.2001                                                                             1 Sumberjaya
36.01.07.2006                                                                      6 Sumurlaban
36.01.07.2007                                                                      7 Kadubadak
36.01.07.2009                                                                      8 Cipinang
36.01.07.2010                                                                      9 Kramatmanik
36.01.08.2001                                                                      1 Pasanggrahan
36.01.08.2002                                                                      2 Sukasaba
36.01.08.2005                                                                        3 Gunungbatu
36.01.08.2006                                                                        4 Panacaran
36.01.08.2007                                                                        5 Curuglanglang
36.01.08.2008                                                                        6 Munjul
36.01.08.2009                                                                        7 Cibitung
36.01.08.2011                                                                        8 Kotadukuh
36.01.08.2018                                                                        9 Lebak                                     Semula wil Kec. Angsana, Perda No. 1/2005
36.01.09.2001                                                                        1 Sukadame
36.01.09.2002                                                                        2 Pagelaran
36.01.09.2003                                                                        3 Surakarta
36.01.09.2004                                                                        4 Montor
36.01.09.2005                                                                        5 Kertasana
36.01.09.2006                                                                        6 Bama
36.01.09.2007                                                                        7 Margasana
36.01.09.2008                                                                        8 Sindanglaya
36.01.09.2009                                                                        9 Tegalpapak
36.01.09.2010                                                                       10 Bulagor
36.01.09.2011                                                                       11 Harapankarya
36.01.09.2012                                                                       12 Senangsari
36.01.09.2013                                                                       13 Margagiri
36.01.10.2001                                                                        1 Mekarsari
36.01.10.2002                                                                        2 Cijakan
36.01.10.2003                                                                        3 Geredug
36.01.10.2004                                                                        4 Bojong
36.01.10.2005                                                                       5 Banyumas
36.01.10.2006                                                                       6 Citumenggung
36.01.10.2007                                                                       7 Manggungjaya
36.01.10.2008                                                                       8 Cahayamekar
36.01.11.2001                                                                       1 Pasirsedang
36.01.11.2002                                                                       2 Cililitan
36.01.11.2003                                                                       3 Kadupandak
36.01.11.2004                                                                       4 Kolelet
36.01.11.2005                                                                       5 Ciherang
36.01.11.2006                                                                       6 Bungurcopong
36.01.11.2007                                                                       7 Pasirpanjang
36.01.11.2008                                                                       8 Kadubera
36.01.11.2009                                                                       9 Ganggaeng                                Pemekaran Desa Bungurcopong Perda No 5/2011
36.01.12.2001                                                                       1 Rancateureup
36.01.12.2002                                                                       2 Labuan
36.01.12.2003                                                                       3 Banyubiru
36.01.12.2004                                                                       4 Caringin
36.01.12.2010                                                                       5 Teluk
36.01.12.2012                                                                       6 Cigondang
36.01.12.2013                                                                       7 Kalanganyar
36.01.12.2014                                                                       8 Sukamaju
36.01.12.2015                                                                       9 Banyumekar
36.01.13.2001                                                                        1 Alaswangi
36.01.13.2002                                                                        2 Tegalwangi
36.01.13.2003                                                                        3 Kananga
36.01.13.2004                                                                        4 Cigandeng
36.01.13.2005                                                                        5 Menes
36.01.13.2006                                                                        6 Muruy
36.01.13.2010                                                                        7 Sukamanah
36.01.13.2011                                                                        8 Purwaraja
36.01.13.2012                                                                        9 Sindangkarya
36.01.13.2013                                                                       10 Cilabanbulan
36.01.13.2015                                                                       11 Kadupayung
36.01.13.2016                                                                       12 Ramaya                                   Pemekaran Desa Tegalwangi Perda No 5/2011
36.01.14.2001                                                                        1 Langensari
36.01.14.2002                                                                        2 Medalsari
36.01.14.2003                                                                        3 Majau
36.01.14.2004                                                                        4 Sodong
36.01.14.2005                                                                        5 Talagasari
36.01.14.2006                                                                        6 Ciandur
36.01.14.2007                                                                        7 Kadudampit
36.01.14.2008                                                                        8 Wanagiri
36.01.14.2009                                                                        9 Parigi
36.01.14.2010                                                                       10 Mekarwangi
36.01.14.2011                                                                       11 Saketi
36.01.14.2012                                                                       12 Girijaya
36.01.14.2013                                                                       13 Sindanghayu
36.01.14.2014                                                                       14 Sukalangu
36.01.15.2001                                                                        1 Palanyar
36.01.15.2002                                                                        2 Baturanjang
36.01.15.2003                                                                         3 Cikadueun
36.01.15.2004                                                                         4 Koncang
36.01.15.2005                                                                         5 Kadugadung
36.01.15.2006                                                                         6 Parumasan
36.01.15.2007                                                                         7 Curugbarang
36.01.15.2008                                                                         8 Kalanggunung
36.01.15.2009                                                                         9 Pasireurih
36.01.15.2010                                                                        10 Pasirmae
36.01.16.2001                                                                         1 Pamarayan
36.01.16.2002                                                                         2 Jiput
36.01.16.2003                                                                         3 Sukacai
36.01.16.2004                                                                         4 Tenjolahang
36.01.16.2005                                                                         5 Janaka
36.01.16.2006                                                                         6 Sikulan
36.01.16.2007                                                                         7 Citaman
36.01.16.2008                                                                         8 Jayamekar
36.01.16.2011                                                                         9 Sukamanah
36.01.16.2012                                                                        10 Salapraya
36.01.16.2013                                                                        11 Banyuresmi
36.01.16.2014                                                                        12 Sampang Bitung
36.01.16.2015                                                                        13 Babadsari
36.01.17.2001                                                                         1 Pandat
36.01.17.2002                                                                         2 Cikoneng
36.01.17.2003                                                                         3 Nembol
36.01.17.2004                                                                         4 Kurungkambing
36.01.17.2005                                                                         5 Mandalawangi
36.01.17.2006                                                                         6 Sinarjaya
36.01.17.2007                                                                         7 Sirnagalih
36.01.17.2008                                                                         8 Cikumbuen
36.01.17.2009                                                                         9 Ramea
36.01.17.2010                                                                       10 Gunungsari
36.01.17.2011                                                                       11 Panjangjaya
36.01.17.2012                                                                       12 Giripawana
36.01.17.2013                                                                       13 Mandalasari
36.01.17.2014                                                                       14 Curuglemo
36.01.17.2015                                                                       15 Pari
36.01.18.2001                                                                        1 Cimanuk
36.01.18.2002                                                                        2 Batubantar
36.01.18.2003                                                                        3 Kadubungbang
36.01.18.2004                                                                        4 Kupahandap
36.01.18.2005                                                                        5 Dalembalar
36.01.18.2006                                                                        6 Kadumadang
36.01.18.2007                                                                        7 Rocek
36.01.18.2008                                                                        8 Kadudodol
36.01.18.2010                                                                        9 Gunungdatar
36.01.18.2013                                                                       10 Sekong
36.01.18.2015                                                                       11 Gunungcupu
36.01.19.2001                                                                        1 Campaka
36.01.19.2002                                                                        2 Banyumundu
36.01.19.2003                                                                        3 Mandalasari
36.01.19.2004                                                                        4 Sukasari
36.01.19.2005                                                                        5 Saninten
36.01.19.2006                                                                        6 Palurahan
36.01.19.2007                                                                        7 Sukamanah
36.01.19.2008                                                                        8 Kadugemblo
36.01.19.2009                                                                        9 Banjarsari
36.01.19.2010                                                                       10 Ciputri
36.01.20.2002                                                                               1 Citalahab
36.01.20.2004                                                                               2 Kadulimus
36.01.20.2005                                                                               3 Bandung
36.01.20.2006                                                                               4 Mogana
36.01.20.2007                                                                               5 Banjar
36.01.20.2008                                                                               6 Gunungputri
36.01.20.2010                                                                               7 Cibodas
36.01.20.2011                                                                               8 Kadubale
36.01.20.2012                                                                               9 Cibeureum
36.01.20.2013                                                                              10 Kadumaneuh
36.01.20.2014                                                                              11 Pasirawi
36.01.21.1002                                                      1 Kadomas
36.01.21.1003                                                      2 Babakan Kalanganyar
36.01.21.1004                                                      3 Kabayan
36.01.21.1009                                                      4 Pandeglang
36.01.22.2001                                                                               1 Kaduengang
36.01.22.2002                                                                               2 Pasirpeuteuy
36.01.22.2003                                                                               3 Kurungdahu
36.01.22.2004                                                                               4 Kaduela
36.01.22.2005                                                                               5 Koranji
36.01.22.2006                                                                               6 Tapos
36.01.22.2007                                                                               7 Cadasari
36.01.22.2008                                                                        8 Ciinjuk
36.01.22.2009                                                                        9 Kaungcaang
36.01.22.2010                                                                       10 Cikentrung
36.01.22.2013                                                                       11 Tanagara
36.01.23.2001                                                                        1 Rawasari
36.01.23.2002                                                                        2 Pasireurih
36.01.23.2003                                                                        3 Kaduronyok
36.01.23.2004                                                                        4 Cibarani
36.01.23.2005                                                                        5 Cisereh
36.01.23.2006                                                                        6 Kubangkondang
36.01.23.2007                                                                        7 Kondangjaya
36.01.23.2008                                                                        8 Ciherangjaya
36.01.23.2009                                                                        9 Palembang
36.01.24.2006                                                                        1 Turus
36.01.24.2008                                                                        2 Patia
36.01.24.2009                                                                        3 Pasirgadung
36.01.24.2010                                                                        4 Cimoyan
36.01.24.2011                                                                        5 Idaman
36.01.24.2014                                                                                 6 Babakankeusik
36.01.24.2015                                                                                 7 Surianeun
36.01.24.2017                                                                                 8 Rahayu
36.01.24.2018                                                                                 9 Ciawi
36.01.24.2020                                                                                10 Simpangtiga                               Pemekaran Desa Turus Perda No 5/2011
36.01.25.1001                                                         1 Kadumerak
36.01.25.1002                                                         2 Cigadung
36.01.25.1003                                                         3 Pagadungan
36.01.25.1014                                                         4 Juhut                                                             Semula wil. Kec. Pandeglang, Perda No. 2/2007
36.01.26.2001                                                                                 1 Karyasari
36.01.26.2002                                                                                 2 Tegal
36.01.26.2003                                                                                 3 Cipicung
36.01.26.2004                                                                                 4 Dahu
36.01.26.2005                                                                                 5 Babakanlor
36.01.26.2006                                                                                 6 Karyautama
36.01.26.2007                                                                                 7 Mekarjaya
36.01.26.2008                                                                                 8 Padahayu
36.01.26.2009                                                                                 9 Cening
36.01.26.2010                                                                                10 Bangkuyung
36.01.27.2001                                                                        1 Sindangkerta
36.01.27.2002                                                                        2 Manglid
36.01.27.2003                                                                        3 Cikiruh
36.01.27.2004                                                                        4 Cikadu
36.01.27.2005                                                                        5 Kiarapayung
36.01.27.2006                                                                        6 Kutakarang
36.01.27.2007                                                                        7 Citeluk
36.01.27.2008                                                                        8 Kiarajangkung
36.01.27.2009                                                                        9 Cikalong
36.01.27.2010                                                                       10 Malangnengah
36.01.28.2001                                                                        1 Banjarmasin
36.01.28.2002                                                                        2 Carita
36.01.28.2003                                                                        3 Sukarame
36.01.28.2004                                                                        4 Sukanegara
36.01.28.2005                                                                        5 Cinoyong
36.01.28.2006                                                                        6 Pejamben
36.01.28.2007                                                                        7 Sukajadi
36.01.28.2008                                                                        8 Kawoyang
36.01.28.2009                                                                        9 Tembong
36.01.28.2010                                                                       10 Sindanglaut
36.01.29.2001                                                                        1 Seuseupan                                 Semula wil. Kec. Patia
36.01.29.2002                                                                        2 Karyasari                                 Semula wil. Kec. Patia
36.01.29.2003                                                                        3 Perdana                                   Semula wil. Kec. Patia
36.01.29.2004                                                                        4 Sukaresmi                                 Semula wil. Kec. Patia
36.01.29.2005                                                                        5 Pasirkadu                                 Semula wil. Kec. Patia
36.01.29.2006                                                                        6 Kubangkampil                              Semula wil. Kec. Patia
36.01.29.2007                                                                        7 Sidamukti                                 Semula wil. Kec. Patia
36.01.29.2008                                                                        8 Cibungur                                  Semula wil. Kec. Patia
36.01.29.2009                                                                        9 Weru                                      Semula wil. Kec. Patia
36.01.29.2010                                                                       10 Cikuya                                    Semula wil. Kec. Patia
36.01.30.2001                                                                        1 Kadubelang                                Semula wil. Kec. Cimanuk
36.01.30.2002                                                                        2 Pareang                                      Semula wil. Kec. Cimanuk
36.01.30.2003                                                                        3 Warasinga                                    Semula wil. Kec. Cimanuk
36.01.30.2004                                                                        4 Rancabugel                                   Semula wil. Kec. Cimanuk
36.01.30.2005                                                                        5 Kadujangkung                                 Semula wil. Kec. Banjar
36.01.30.2006                                                                        6 Medong                                       Semula wil. Kec. Banjar
36.01.30.2007                                                                        7 Sukamulya                                    Semula wil. Kec. Banjar
36.01.30.2008                                                                        8 Mekarjaya                                    Semula wil. Kec. Banjar
36.01.31.2001                                                                        1 Ciodeng                                      Semula wil. Kec. Munjul
36.01.31.2002                                                                        2 Pasirtenjo                                   Semula wil. Kec. Munjul
36.01.31.2003                                                                        3 Bojongmanik                                  Semula wil. Kec. Munjul
36.01.31.2004                                                                        4 Cempakawarna                                 Semula wil. Kec. Munjul
36.01.31.2005                                                                        5 Pasirloa                                     Semula wil. Kec. Munjul
36.01.31.2006                                                                        6 Pasirlancar                                  Semula wil. Kec. Munjul
36.01.31.2007                                                                        7 Sidangresmi                                  Semula wil. Kec. Munjul
36.01.31.2008                                                                        8 Pasirdurung                                  Semula wil. Kec. Munjul
36.01.31.2009                                                                        9 Kadumalati                                   Semula wil. Kec. Munjul
36.01.32.2001                                                                        1 Koranji                                      Semula wil. Kec. Menes
36.01.32.2002                                                                        2 Banjarwangi                                  Semula wil. Kec. Menes
36.01.32.2003                                                                        3 Sukasari                                     Semula wil. Kec. Menes
36.01.32.2004                                                                        4 Karyawangi                                   Semula wil. Kec. Menes
36.01.32.2005                                                                        5 Sukaraja                                     Semula wil. Kec. Jiput
36.01.32.2006                                                                        6 Kaduhejo                                     Semula wil. Kec. Cisata
36.01.32.2007                                                                        7 Banjarnegara                                 Semula wil. Kec. Cisata
36.01.32.2008                                                                        8 Sanghiangdengdek                             Semula wil. Kec. Cisata
36.01.32.2009                                                                        9 Cilentung                                    Semula wil. Kec. Cisata
36.01.33.2001                                                                        1 Sukajaya                                     Semula wil. Kec. Cadasari
36.01.33.2002                                                                        2 Awilega                                      Semula wil. Kec. Cadasari
36.01.33.2003                                                                        3 Gerendong                                    Semula wil. Kec. Karang Tanjung
36.01.33.2004                                                                        4 Koroncong                                    Semula wil. Kec. Karang Tanjung
36.01.33.2005                                                                        5 Pakuluran                                    Semula wil. Kec. Karang Tanjung
36.01.33.2006                                                                        6 Setrajaya                                    Semula wil. Kec. Karang Tanjung
36.01.33.2007                                                                                       7 Karangsetra                                       Semula wil. Kec. Karang Tanjung
36.01.33.2008                                                                                       8 Paniis                                            Semula wil. Kec. Karang Tanjung
36.01.33.2009                                                                                       9 Bangkonol                                         Semula wil. Kec. Karang Tanjung
36.01.33.2010                                                                                      10 Pasirjaksa                                        Semula wil. Kec. Karang Tanjung
36.01.33.2011                                                                                      11 Pasirkarag                                        Semula wil. Kec. Karang Tanjung
36.01.33.2012                                                                                      12 Tegalongok                                        Semula wil. Kec. Karang Tanjung
36.01.34.1001                                                             1 Sukaratu                                                                    Semula wil. Kec. Pandeglang
36.01.34.1002                                                             2 Karaton                                                                     Semula wil. Kec. Pandeglang
36.01.34.1003                                                             3 Saruni                                                                      Semula wil. Kec. Pandeglang
36.01.34.1004                                                             4 Pagerbatu                                                                   Semula wil. Kec. Pandeglang
36.01.34.1005                                                             5 Cilaja                                                                      Semula wil. Kec. Pandeglang
36.01.35.2001                                                                                       1 Cimanis                                           Semula wil. Kec. Cimanis
36.01.35.2002                                                                                       2 Teluklada                                         Semula wil. Kec. Panimbang
36.01.35.2003                                                                                       3 Kertaraharja                                      Semula wil. Kec. Panimbang
36.01.35.2004                                                                                       4 Bojen                                             Semula wil. Kec. Panimbang
36.01.35.2005                                                                                       5 Kutamekar                                         Semula wil. Kec. Panimbang
36.01.35.2006                                                                                       6 Sobang                                            Semula wil. Kec. Panimbang
36.01.35.2007                                                                                       7 Pangkalan                                         Semula wil. Kec. Panimbang
36.01.35.2008                                                                                       8 Bojenwetan                                        Pemekaran Desa BojenPerda No 5/2011
36.02.01.2002                                                                                       1 Cilangkahan
36.02.01.2003                                                                                       2 Pagelaran
36.02.01.2004                                                                                       3 Sukaraja
36.02.01.2005                                                                                       4 Malingping Utara
36.02.01.2006                                                                                       5 Bolang
36.02.01.2009                                                                                       6 Cipeundeuy
36.02.01.2013                                                                        7 Rahong
36.02.01.2014                                                                        8 Kadujajar
36.02.01.2016                                                                        9 Kersaratu
36.02.01.2018                                                                       10 Malingping Selatan
36.02.01.2019                                                                       11 Sumberwaras
36.02.01.2023                                                                       12 Sukamanah
36.02.01.2024                                                                       13 Senanghati
36.02.01.2026                                                                       14 Sangiang
36.02.02.2002                                                                        1 Panggarangan
36.02.02.2003                                                                        2 Jatake
36.02.02.2004                                                                        3 Sogong
36.02.02.2005                                                                        4 Cimandiri
36.02.02.2009                                                                        5 Gununggede
36.02.02.2010                                                                        6 Situregen
36.02.02.2011                                                                        7 Mekarjaya
36.02.02.2014                                                                        8 Sindangratu
36.02.02.2017                                                                        9 Hegarmanah
36.02.02.2018                                                                      10 Sukajadi
36.02.02.2019                                                                      11 Cibarengkok                               Perda No. 1/2008
36.02.03.2001                                                                       1 Bayah Barat
36.02.03.2002                                                                       2 Sawarna
36.02.03.2006                                                                       3 Cidikit
36.02.03.2007                                                                       4 Suwakan
36.02.03.2008                                                                       5 Cimancak
36.02.03.2011                                                                       6 Darmasari
36.02.03.2013                                                                       7 Bayah Timur
36.02.03.2014                                                                       8 Cisuren
36.02.03.2016                                                                       9 Pasirgombong
36.02.03.2017                                                                      10 Sawarna Timur                             Perda No. 1/2008
36.02.03.2018                                                                      11 Pamubulan                                 Perda No. 1/2008
36.02.04.2002                                                                       1 Cipanas
36.02.04.2003                                                                       2 Girilaya
36.02.04.2004                                                                       3 Malangsari
36.02.04.2005                                                                       4 Bintangresmi
36.02.04.2006                                                                       5 Talagahiyang
36.02.04.2007                                                                       6 Luhurjaya
36.02.04.2008                                                                       7 Haurgajrug
36.02.04.2009                                                                       8 Giriharja
36.02.04.2010                                                                       9 Sukasari
36.02.04.2013                                                                      10 Jayapura
36.02.04.2014                                                                      11 Sipayung
36.02.04.2015                                                                      12 Bintangsari
36.02.04.2016                                                                      13 Pasirhaur
36.02.04.2020                                                                      14 Harumsari                                Perda No. 3/2006
36.02.05.2003                                                                       1 Pasireurih                               Semula Desa Karangcombong, Perda No 1 Tahun 2008
36.02.05.2004                                                                       2 Ciminyak
36.02.05.2005                                                                       3 Muncang
36.02.05.2006                                                                       4 Leuwicoo
36.02.05.2007                                                                       5 Sindangwangi
36.02.05.2008                                                                       6 Cikarang
36.02.05.2012                                                                       7 Sukanagara
36.02.05.2013                                                                       8 Pasirnangka
36.02.05.2018                                                                       9 Jagaraksa                                Perda No. 1/2008
36.02.05.2019                                                                      10 Tanjungwangi                             Perda No. 1/2008
36.02.05.2020                                                                      11 Mekarwangi                               Perda No. 1/2008
36.02.05.2021                                                                      12 Girijagabaya                             Perda No. 1/2008
36.02.06.2001                                                                       1 Kanekes
36.02.06.2002                                                                       2 Cisimeut
36.02.06.2003                                                                       3 Cibungur
36.02.06.2004                                                                         4 Leuwidamar
36.02.06.2005                                                                         5 Lebakparahiang
36.02.06.2006                                                                         6 Sangkanwangi
36.02.06.2007                                                                         7 Nayagati
36.02.06.2008                                                                         8 Bojongmenteng
36.02.06.2009                                                                         9 Margawangi
36.02.06.2010                                                                        10 Wantisari
36.02.06.2011                                                                        11 Jalupangmulya
36.02.06.2012                                                                        12 Cisimeut Raya                              Perda No. 3/2006
36.02.07.2004                                                                         1 Bojongmanik
36.02.07.2007                                                                         2 Harjawana
36.02.07.2008                                                                         3 Kadurahayu
36.02.07.2009                                                                         4 Cimayang
36.02.07.2010                                                                         5 Parakanbeusi
36.02.07.2012                                                                         6 Keboncau
36.02.07.2014                                                                         7 Mekarmanik
36.02.07.2016                                                                         8 Mekar Rahayu                               Perda No. 1/2008
36.02.07.2017                                                                         9 Pasirbitung                                Perda No. 1/2008
36.02.08.2001                                                                         1 Gunungkencana
36.02.08.2002                                                                         2 Cimanyangray
36.02.08.2003                                                                         3 Gunungkendeng
36.02.08.2004                                                                         4 Cisampang
36.02.08.2005                                                                         5 Ciginggang
36.02.08.2006                                                                         6 Ciakar
36.02.08.2007                                                                         7 Cicaringin
36.02.08.2008                                                                         8 Bulakan
36.02.08.2009                                                                         9 Sukanegara
36.02.08.2010                                                                        10 Bojongkoneng
36.02.08.2011                                                                        11 Kramatjaya
36.02.08.2012                                                                        12 Tanjungsari Indah                             Perda No. 3/2006
36.02.09.2001                                                                         1 Kerta
36.02.09.2002                                                                         2 Bojongjuruh
36.02.09.2003                                                                         3 Leuwiipuh
36.02.09.2004                                                                         4 Lebakkeusik
36.02.09.2005                                                                         5 Cilegongilir                                  Semula Desa Cilegonhilir , Perda No 1/2008
36.02.09.2006                                                                         6 Keusik
36.02.09.2007                                                                         7 Cibaturkeusik
36.02.09.2009                                                                         8 Kumpay
36.02.09.2010                                                                         9 Jalupanggirang
36.02.09.2011                                                                        10 Bendungan
36.02.09.2012                                                                        11 Kertaraharja
36.02.09.2013                                                                        12 Cisampih
36.02.09.2014                                                                        13 Gunungsari
36.02.09.2015                                                                        14 Tamansari
36.02.09.2016                                                                        15 Cidahu
36.02.09.2017                                                                        16 Ciruji
36.02.09.2018                                                                        17 Kaduhauk                                      Perda No. 1/2008
36.02.09.2019                                                                        18 Labanjaya                                     Perda No. 1/2008
36.02.09.2020                                                                        19 Umbuljaya                                     Perda No. 1/2008
36.02.09.2021                                                                        20 Kertarahayu                                   Perda No. 1/2008
36.02.10.2001                                                                         1 Pasindangan
36.02.10.2002                                                                         2 Parungkujang
36.02.10.2003                                                                         3 Cileles
36.02.10.2004                                                                         4 Cikareo
36.02.10.2005                                                                         5 Cipadang
36.02.10.2006                                                                        6 Gumuruh
36.02.10.2007                                                                        7 Prabugantungan
36.02.10.2008                                                                        8 Daroyon
36.02.10.2009                                                                        9 Margamulya
36.02.10.2010                                                                       10 Mekarjaya
36.02.10.2011                                                                       11 Kujangsari
36.02.10.2012                                                                       12 Banjarsari                                 Semula wil. Kec. Banjarsari
36.02.11.2001                                                                        1 Sarageni
36.02.11.2002                                                                        2 Gununganten
36.02.11.2003                                                                        3 Sudamanik
36.02.11.2004                                                                        4 Tambak
36.02.11.2005                                                                        5 Cimarga
36.02.11.2006                                                                        6 Karyajaya
36.02.11.2007                                                                        7 Margajaya
36.02.11.2008                                                                        8 Jayamanik
36.02.11.2009                                                                        9 Margaluyu
36.02.11.2010                                                                       10 Margatirta
36.02.11.2011                                                                       11 Intenjaya
36.02.11.2012                                                                       12 Mekarjaya
36.02.11.2013                                                                       13 Jayasari
36.02.11.2014                                                                       14 Girimukti
36.02.11.2015                                                                       15 Sangkanmanik
36.02.11.2016                                                                       16 Sangiangjaya
36.02.11.2017                                                                       17 Mekarmulya                                 Perda No. 1/2008
36.02.12.2001                                                                        1 Maraya
36.02.12.2002                                                                        2 Sajira
36.02.12.2003                                                                        3 Sukarame
36.02.12.2004                                                                        4 Calungbungur
36.02.12.2005                                                                        5 Parungsari
36.02.12.2006                                                                        6 Sindangsari
36.02.12.2007                                                                        7 Mekarsari
36.02.12.2008                                                                        8 Sukamarga
36.02.12.2009                                                                                     9 Pajagan
36.02.12.2010                                                                                    10 Sukajaya
36.02.12.2011                                                                                    11 Sajira Mekar
36.02.12.2012                                                                                    12 Paja
36.02.12.2013                                                                                    13 Margaluyu
36.02.12.2014                                                                                    14 Bungurmekar                              Perda No. 3 /2006
36.02.12.2015                                                                                    15 Ciuyah                                   Perda No. 3 / 2006
36.02.13.2005                                                                                     1 Tanjungsari
36.02.13.2006                                                                                     2 Maja
36.02.13.2007                                                                                     3 Sangiang
36.02.13.2008                                                                                     4 Binong
36.02.13.2009                                                                                     5 Gubugan Cibeureum
36.02.13.2011                                                                                     6 Mekarsari
36.02.13.2012                                                                                     7 Padasuka
36.02.13.2015                                                                                     8 Curugbadak
36.02.13.2016                                                                                     9 Sindangmulya
36.02.13.2018                                                                                    10 Cilangkap
36.02.13.2020                                                                                    11 Pasirkembang
36.02.13.2021                                                                                    12 Pasirkecapi
36.02.13.2022                                                                                    13 Buyut Mekar                              Perda No. 1/2008
36.02.13.2023                                                                                    14 Maja Baru                                Perda No. 1/2008
36.02.14.2001                                                                                     1 Pasirtanjung
36.02.14.1002                                                        1 Rangkasbitung Barat
36.02.14.1006                                                       2 Cijoro Lebak
36.02.14.1007                                                       3 Muara Ciujung Barat
36.02.14.1008                                                       4 Cijoro Pasir
36.02.14.2009                                                                                2 Citeras
36.02.14.2010                                                                                3 Nameng
36.02.14.2011                                                                                4 Kolelet Wetan
36.02.14.1012                                                       5 Muara Ciujung Timur
36.02.14.2013                                                                                5 Jatimulya
36.02.14.2014                                                                                6 Mekarsari
36.02.14.2016                                                                                7 Pabuaran
36.02.14.2017                                                                                8 Rangkasbitung Timur
36.02.14.2019                                                                                9 Sukamanah
36.02.14.2021                                                                               10 Cimangeunteung
36.02.14.2023                                                                               11 Narimbang Mulia                             Perda No. 1/2008
36.02.15.2001                                                                                1 Sukarendah
36.02.15.2002                                                                                2 Warunggunung
36.02.15.2003                                                                                3 Cibuah
36.02.15.2004                                                                                4 Pasir Tangkil
36.02.15.2005                                                                                5 Baros
36.02.15.2006                                                                                6 Banjarsari
36.02.15.2007                                                                                7 Padasuka
36.02.15.2008                                                                                8 Sukaraja
36.02.15.2009                                                                                9 Jagabaya
36.02.15.2010                                                                               10 Selaraja
36.02.15.2011                                                                               11 Cempaka
36.02.15.2012                                                                               12 Sindangsari
36.02.16.2004                                                                        1 Mekarjaya
36.02.16.2006                                                                        2 Cipalabuh
36.02.16.2007                                                                        3 Cijaku
36.02.16.2008                                                                        4 Cibeureum
36.02.16.2012                                                                        5 Ciapus
36.02.16.2013                                                                        6 Kandangsapi
36.02.16.2014                                                                        7 Cihujan
36.02.16.2015                                                                        8 Cimenga                                     Perda No. 3 / 2006
36.02.16.2016                                                                        9 Kapunduhan                                  Perda No. 3 / 2006
36.02.16.2017                                                                       10 Sukasenang                                  Perda No. 3 / 2006
36.02.16.2018                                                                       11 Cikaratuan                                  Perda No. 3 / 2006
36.02.17.2001                                                                        1 Anggalan
36.02.17.2002                                                                        2 Muncangkopong
36.02.17.2003                                                                        3 Sukaharja
36.02.17.2004                                                                        4 Tamanjaya
36.02.17.2005                                                                        5 Cigoong Utara
36.02.17.2006                                                                        6 Muaradua
36.02.17.2007                                                                        7 Cikulur
36.02.17.2008                                                                        8 Curugpanjang
36.02.17.2009                                                                        9 Cigoong Selatan
