33.01.01.2001                                                                             1 Tambakreja
33.07.07.1006                                                      1 Kalikajar
33.07.07.2007                                                                          6 Simbang
33.07.07.2008                                                                          7 Karangduwur
33.07.07.2009                                                                          8 Kwadungan
33.07.07.2010                                                                          9 Purwojiwo
33.07.07.2011                                                                         10 Wonosari
33.07.07.2012                                                                         11 Kalikuning
33.07.07.2013                                                                         12 Maduretno
33.07.07.2014                                                                         13 Tegalombo
33.07.07.2015                                                                         14 Kembaran
33.07.07.2016                                                                         15 lamuk
33.07.07.2017                                                                         16 Bowongso
33.07.07.2018                                                                         17 Butuh                                    koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov
33.07.07.2019                                                                           18 Butuh Kidul
33.07.08.1001                                                     1 Wringinanom
33.07.08.2002                                                                            1 Sudungdewo
33.07.08.2003                                                                            2 Bejiarum
33.07.08.2004                                                                            3 Ngadikusuman
33.07.08.2005                                                                            4 Bojasari
33.07.08.2006                                                                            5 Surengede
33.07.08.2007                                                                            6 Sindupaten
33.07.08.1008                                                     2 Kertek
33.07.08.2009                                                                            7 Sumberdalem
33.07.08.2010                                                                            8 Purwojati
33.07.08.2011                                                                            9 Karangluhur
33.07.08.2012                                                                           10 Tlogodalem
33.07.08.2013                                                                           11 Banjar
33.07.08.2014                                                                           12 Damarkasiyan                             koreksi nama desa Rekom Pemdes No145/1820/SET tgl 15 nov
33.07.08.2015                                                                           13 Tlogomulyo
33.07.08.2016                                                                           14 Pagerejo
33.07.08.2017                                                                           15 Candimulyo
33.07.08.2018                                                                           16 Purbosono
33.07.08.2019                                                                           17 Candiyasan
33.07.08.2020                                                                           18 Kapencar
33.07.08.2021                                                                           19 Reco
33.07.09.2001                                                                            1 Wonolelo
33.07.09.1002                                                     1 Tawangsari
33.07.09.1003                                                     2 Mlipak
33.07.09.1004                                                     3 Jaraksari
33.07.09.2005                                                                            2 Jogoyitnan
33.07.09.1006                                                     4 Kramatan
33.07.09.2007                                                                            3 Pancurwening
33.07.09.1008                                                     5 Bumiroso
33.07.09.1009                                                     6 Rojoimo
33.07.09.1010                                                     7 Pagerkukuh
33.07.09.1011                                                      8 Sambek
33.07.09.1013                                                      9 Kejiwan
33.07.09.1014                                                     10 Kalianget
33.07.09.1015                                                     11 Jlamprang
33.07.09.2016                                                                              4 Wonosari
33.07.09.2017                                                                              5 Bomerto
33.07.09.2018                                                                              6 Sariyoso
33.07.09.2019                                                                              7 Tlogojati
33.07.09.1020                                                     12 Wonosobo Barat                                                    Perda No. 11/2003.
33.07.09.1021                                                     13 Wonosobo Timur                                                    Perda No. 11/2003.
33.07.10.2001                                                                              1 Bumiroso
33.07.10.2002                                                                              2 Gondang
33.07.10.2003                                                                              3 Limbangan
33.07.10.2004                                                                              4 Kuripan
33.07.10.2005                                                                              5 Banyukembar
33.07.10.2006                                                                              6 Gumawangkidul
33.07.10.2007                                                                              7 Wonosroyo
33.07.10.2008                                                                              8 Watumalang
33.07.10.2009                                                                              9 Pasuruhan
33.07.10.1010                                                      1 Wonoroto
33.07.10.2011                                                                             10 Lumajang
33.07.10.2012                                                                             11 Binangun
33.07.10.2013                                                                             12 Wonokampir
33.07.10.2014                                                                             13 Krinjing
33.07.10.2015                                                                             14 Mutisari
33.07.10.2016                                                                             15 Kalidesel
33.07.11.2001                                                                              1 Sojopuro
33.07.11.2002                                                                              2 candirejo
33.07.11.2003                                                                              3 Keseneng
33.07.11.1004                                                      1 Mudal
33.07.11.1005                                                      2 Andongsili
33.07.11.2006                                                                           4 Krasak
33.07.11.2007                                                                           5 Bumirejo
33.07.11.2008                                                                           6 Blederan
33.07.11.1009                                                      3 Kalibeber
33.07.11.2010                                                                           7 Sukorejo
33.07.11.2011                                                                           8 Larangankulon
33.07.11.2012                                                                           9 Pungangan
33.07.11.2013                                                                          10 Gunturmadu
33.07.11.2014                                                                          11 Mojosari
33.07.11.2015                                                                          12 wonokromo
33.07.11.2016                                                                          13 Derongisor
33.07.11.2017                                                                          14 Deroduwur
33.07.11.2018                                                                          15 Slukatan
33.07.11.2019                                                                          16 Kebrengan
33.07.12.2001                                                                           1 Lengkong
33.07.12.2002                                                                           2 Gemblengan
33.07.12.2003                                                                           3 Sendangsari
33.07.12.2004                                                                           4 Kayugiyang
33.07.12.1005                                                      1 Garung
33.07.12.2006                                                                           5 Siwuran
33.07.12.2007                                                                           6 Kuripan
33.07.12.2008                                                                           7 Jengkol
33.07.12.2009                                                                           8 Tlogo
33.07.12.2010                                                                           9 Maron
33.07.12.2011                                                                          10 Menjer
33.07.12.2012                                                                          11 Mlandi
33.07.12.2013                                                                          12 Laranganlor
33.07.12.2014                                                                          13 Sitiharjo
33.07.12.2015                                                                          14 Tegalsari
33.07.13.2001                                                                           1 Campursari
33.07.13.2002                                                                           2 Sikunang
33.07.13.2003                                                                           3 Sembungan
33.07.13.2004                                                                                4 Kreo
33.07.13.2005                                                                                5 Tambi
33.07.13.2006                                                                                6 Buntu
33.07.13.2007                                                                                7 Sigedang
33.07.13.1008                                                      1 Kejajar
33.07.13.2009                                                                                8 Serang
33.07.13.2010                                                                                9 Tieng
33.07.13.2011                                                                               10 Parikesit
33.07.13.2012                                                                               11 Jojogan
33.07.13.2013                                                                               12 Dieng
33.07.13.2014                                                                               13 Patakbanteng
33.07.13.2015                                                                               14 Surengede
33.07.13.2016                                                                               15 Igirmranak
33.07.14.2001                                                                                1 Kupangan
33.07.14.2002                                                                                2 Mergosari
33.07.14.2003                                                                                3 Sukoharjo
33.07.14.2004                                                                                4 Rogojati
33.07.14.2005                                                                                5 Karanganyar
33.07.14.2006                                                                                6 Sempol
33.07.14.2007                                                                                7 Plodongan
33.07.14.2008                                                                                8 Suroyudan
33.07.14.2009                                                                                9 Gumiwang
33.07.14.2010                                                                               10 Gunungtugel
33.07.14.2011                                                                               11 Pulus
33.07.14.2012                                                                               12 Pucungwetan
33.07.14.2013                                                                               13 Kajeksan
33.07.14.2014                                                                               14 Tlogo
33.07.14.2015                                                                               15 Kalibening
33.07.14.2016                                                                               16 Garunglor
33.07.14.2017                                                                               17 Jebengplampitan
33.07.15.2001                                                                                1 Pengarengan
33.07.15.2002                                                                                2 Kalikarung
33.07.15.2003                                                                              3 Dempel
33.07.15.2004                                                                              4 Karangsambung
33.07.15.2005                                                                              5 Tempurejo
33.07.15.2006                                                                              6 Mergolangu
33.07.15.2007                                                                              7 Depok
33.07.15.2008                                                                              8 Kalialang
33.08.01.2001                                                                              1 Ngargoretno
33.08.01.2002                                                                              2 Paripurno
33.08.01.2003                                                                              3 Kalirejo
33.08.01.2004                                                                              4 Menoreh
33.08.01.2005                                                                              5 Ngadirejo
33.08.01.2006                                                                              6 Sidomulyo
33.08.01.2007                                                                              7 Kebonrejo
33.08.01.2008                                                                              8 Salaman
33.08.01.2009                                                                              9 Kalisalak
33.08.01.2010                                                                             10 Sriwedari
33.08.01.2011                                                                             11 Jebengsari
33.08.01.2012                                                                             12 Tanjunganom
33.08.01.2013                                                                             13 Banjarharjo
33.08.01.2014                                                                             14 Purwosari
33.08.01.2015                                                                             15 Ngampeldento
33.08.01.2016                                                                             16 Sidosari
33.08.01.2017                                                                             17 Sawangargo
33.08.01.2018                                                                             18 Krasak
33.08.01.2019                                                                             19 Margoyoso
33.08.01.2020                                                                             20 Kaliabu
33.08.02.2001                                                                              1 Giripurno
33.08.02.2002                                                                              2 Giritengah
33.08.02.2003                                                                              3 Tuksongo
33.08.02.2004                                                                              4 Majaksingi
33.08.02.2005                                                                       5 Kenalan
33.08.02.2006                                                                       6 Bigaran
33.08.02.2007                                                                       7 Sambeng
33.08.02.2008                                                                       8 Candirejo
33.08.02.2009                                                                       9 Ngargogondo
33.08.02.2010                                                                      10 Wanurejo
33.08.02.2011                                                                      11 Borobudur
33.08.02.2012                                                                      12 Tanjungsari
33.08.02.2013                                                                      13 Karanganyar
33.08.02.2014                                                                      14 Karangrejo
33.08.02.2015                                                                      15 Ngadiharjo
33.08.02.2016                                                                      16 Kebonsari
33.08.02.2017                                                                      17 Tegalarum
33.08.02.2018                                                                      18 Kembanglimus
33.08.02.2019                                                                      19 Wringinputih
33.08.02.2020                                                                      20 Bumiharjo
33.08.03.2001                                                                       1 Bligo
33.08.03.2002                                                                       2 Pakunden
33.08.03.2003                                                                       3 Somokaton
33.08.03.2004                                                                       4 Ngluwar
33.08.03.2005                                                                       5 Karangtalun
33.08.03.2006                                                                       6 Jamuskauman
33.08.03.2007                                                                       7 Plosogede
33.08.03.2008                                                                       8 Blongkeng
33.08.04.2001                                                                       1 Mantingan
33.08.04.2002                                                                       2 Salam
33.08.04.2003                                                                       3 Sucen
33.08.04.2004                                                                       4 Kadiluwih
33.08.04.2005                                                                       5 Somoketro
33.08.04.2006                                                                       6 Jumoyo
33.08.04.2007                                                                       7 Tirto
33.08.04.2008                                                                       8 Baturono
33.08.04.2009                                                                       9 Tersangede
33.08.04.2010                                                                      10 Sirahan
33.08.04.2011                                                                      11 Seloboro
33.08.04.2012                                                                      12 Gulon
33.08.05.2001                                                                       1 Sudimoro
33.08.05.2002                                                                       2 Pandanretno
33.08.05.2003                                                                       3 Kaliurang
33.08.05.2004                                                                       4 Tegalrandu
33.08.05.2005                                                                       5 Kamongan
33.08.05.2006                                                                       6 Jerukagung
33.08.05.2007                                                                       7 Kradenan
33.08.05.2008                                                                       8 Banyuadem
33.08.05.2009                                                                       9 Ngablak
33.08.05.2010                                                                      10 Srumbung
33.08.05.2011                                                                      11 Bringin
33.08.05.2012                                                                      12 Mranggen
33.08.05.2013                                                                      13 Ngargosoko
33.08.05.2014                                                                      14 Polengan
33.08.05.2015                                                                      15 Pucanganom
33.08.05.2016                                                                      16 Kemiren
33.08.05.2017                                                                      17 Nglumut
33.08.06.2001                                                                       1 Ketunggeng
33.08.06.2002                                                                       2 Wates
33.08.06.2003                                                                       3 Ngadipuro
33.08.06.2004                                                                       4 Banyubiru
33.08.06.2005                                                                       5 Banyudono
33.08.06.2006                                                                       6 Dukun
33.08.06.2007                                                                       7 Kalibening
33.08.06.2008                                                                       8 Ngargomulyo
33.08.06.2009                                                                       9 Sumber
33.08.06.2010                                                                      10 Mangunsoko
33.08.06.2011                                                                      11 Sewukan
33.08.06.2012                                                                      12 Sengi
33.08.06.2013                                                                      13 Paten
33.08.06.2014                                                                      14 Krinjing
33.08.06.2015                                                                      15 Keningar
33.08.07.2001                                                                       1 Gondowangi
33.08.07.2002                                                                       2 Sawangan
33.08.07.2003                                                                       3 Krogowanan
33.08.07.2004                                                                       4 Kapuhan
33.08.07.2005                                                                       5 Ketep
33.08.07.2006                                                                       6 Wonolelo
33.08.07.2007                                                                       7 Banyuroto
33.08.07.2008                                                                       8 Wulunggunung
33.08.07.2009                                                                       9 Gantang
33.08.07.2010                                                                      10 Jati
33.08.07.2011                                                                      11 Butuh
33.08.07.2012                                                                      12 Mangunsari
33.08.07.2013                                                                      13 Tirtosari
33.08.07.2014                                                                      14 Podosoko
33.08.07.2015                                                                      15 Soronalan
33.08.08.2001                                                                       1 Tanjung
33.08.08.2002                                                                       2 Sokorini
33.08.08.2003                                                                       3 Sriwedari
33.08.08.2004                                                                       4 Congkrang
33.08.08.2005                                                                       5 Adikarto
33.08.08.2006                                                                       6 Menayu
33.08.08.2007                                                                       7 Keji
33.08.08.2008                                                                       8 Ngawen
33.08.08.2009                                                                       9 Gunungpring
33.08.08.2010                                                                      10 Pucungrejo
33.08.08.2011                                                                      11 Tamanagung
33.08.08.2012                                                                      12 Gondosuli
33.08.08.2013                                                                      13 Sedayu
33.08.08.1014                                                      1 Muntilan
33.08.09.2001                                                                                1 Progowati
33.08.09.2002                                                                                2 Ngrajek
33.08.09.1003                                                      1 Mendut
33.08.09.1004                                                      2 Sawitan
33.08.09.2005                                                                                3 Rambeanak
33.08.09.2006                                                                                4 Paremono
33.08.09.2007                                                                                5 Pabelan
33.08.09.2008                                                                                6 Bojong
33.08.09.2009                                                                                7 Pagersari
33.08.09.2010                                                                                8 Mungkid
33.08.09.2011                                                                                9 Ambartawang
33.08.09.2012                                                                               10 Bumirejo
33.08.09.2013                                                                               11 Blondo
33.08.09.2014                                                                               12 Senden
33.08.09.2015                                                                               13 Gondang
33.08.09.2016                                                                               14 Treko
33.08.10.2001                                                                                1 Deyangan
33.08.10.2002                                                                                2 Pasuruhan
33.08.10.2003                                                                                3 Donorojo
33.08.10.2004                                                                                4 Kalinegoro
33.08.10.2005                                                                                5 Jogonegoro
33.08.10.2006                                                                                6 Sukorejo
33.08.10.2007                                                                                7 Bondowoso
33.08.10.2008                                                                                8 Danurejo
33.08.10.1009                                                      1 Sumberrejo
33.08.10.2010                                                                                9 Banyurojo
33.08.10.2011                                                                               10 Banjarnegoro
33.08.10.2012                                                                               11 Bulurejo
33.08.10.2013                                                                               12 Mertoyudan
33.08.11.2001                                                                                1 Ringinanom
33.08.11.2002                                                                        2 Sumberarum
33.08.11.2003                                                                        3 Sidoagung
33.08.11.2004                                                                        4 Tanggulrejo
33.08.11.2005                                                                        5 Kalisari
33.08.11.2006                                                                        6 Girirejo
33.08.11.2007                                                                        7 Tempurejo
33.08.11.2008                                                                        8 Prajeksari
33.08.11.2009                                                                        9 Jogomulyo
33.08.11.2010                                                                       10 Growong
33.08.11.2011                                                                       11 Temanggal
33.08.11.2012                                                                       12 Pringombo
33.08.11.2013                                                                       13 Kemutuk
33.08.11.2014                                                                       14 Bawang
33.08.11.2015                                                                       15 Tugurejo
33.08.12.2001                                                                        1 Wonogiri
33.08.12.2002                                                                        2 Kwaderan
33.08.12.2003                                                                        3 Madukoro
33.08.12.2004                                                                        4 Bumiayu
33.08.12.2005                                                                        5 Madugondo
33.08.12.2006                                                                        6 Ngargosari
33.08.12.2007                                                                        7 Ngendrosari
33.08.12.2008                                                                        8 Lesanpuro
33.08.12.2009                                                                        9 Banjaretno
33.08.12.2010                                                                       10 Krinjing
33.08.12.2011                                                                       11 Bangsri
33.08.12.2012                                                                       12 Wadas
33.08.12.2013                                                                       13 Kajoran
33.08.12.2014                                                                       14 Mangunrejo
33.08.12.2015                                                                       15 Sambak
33.08.12.2016                                                                       16 Bambusari
33.08.12.2017                                                                       17 Wuwuharjo
33.08.12.2018                                                                       18 Pandansari
33.08.12.2019                                                                       19 Pandanretno
33.08.12.2020                                                                       20 Krumpakan
33.08.12.2021                                                                       21 Banjaragung
33.08.12.2022                                                                       22 Sangen
33.08.12.2023                                                                       23 Pucungroto
33.08.12.2024                                                                       24 Sidorejo
33.08.12.2025                                                                       25 Sidowangi
33.08.12.2026                                                                       26 Sukomulyo
33.08.12.2027                                                                       27 Sukorejo
33.08.12.2028                                                                       28 Sutopati
33.08.12.2029                                                                       29 Sukomakmur                               Perda No. 5/2005.
33.08.13.2001                                                                        1 Kaliangkrik
33.08.13.2002                                                                        2 Ngawonggo
33.08.13.2003                                                                        3 Munggangsari
33.08.13.2004                                                                        4 Ngargosoko
33.08.13.2005                                                                        5 Ngendrokilo
33.08.13.2006                                                                        6 Maduretno
33.08.13.2007                                                                        7 Temanggung
33.08.13.2008                                                                        8 Pengarengan
33.08.13.2009                                                                        9 Mangli
33.08.13.2010                                                                       10 Selomoyo
33.08.13.2011                                                                       11 Banjarejo
33.08.13.2012                                                                       12 Giriwarno
33.08.13.2013                                                                       13 Girirejo
33.08.13.2014                                                                       14 Kebonlegi
33.08.13.2015                                                                       15 Balerejo
33.08.13.2016                                                                       16 Beseran
33.08.13.2017                                                                       17 Bumirejo
33.08.13.2018                                                                       18 Ketangi
33.08.13.2019                                                                       19 Balekerto
33.08.13.2020                                                                       20 Adipuro                                  Perda No. 5/2005.
33.08.14.2001                                                                        1 Bandongan
33.08.14.2002                                                                        2 Salamkanci
33.08.14.2003                                                                        3 Sukosari
33.08.14.2004                                                                        4 Tonoboyo
33.08.14.2005                                                                        5 Gandusari
33.08.14.2006                                                                        6 Sidorejo
33.08.14.2007                                                                        7 Trasan
33.08.14.2008                                                                        8 Banyuwangi
33.08.14.2009                                                                        9 Kedungsari
33.08.14.2010                                                                       10 Sukodadi
33.08.14.2011                                                                       11 Kebonagung
33.08.14.2012                                                                       12 Kalegen
33.08.14.2013                                                                       13 Ngepanrejo
33.08.14.2014                                                                       14 Rejosari
33.08.15.2001                                                                        1 Surojoyo
33.08.15.2002                                                                        2 Tempak
33.08.15.2003                                                                        3 Sidomulyo
33.08.15.2004                                                                        4 Mejing
33.08.15.2005                                                                        5 Purworejo
33.08.15.2006                                                                        6 Candimulyo
33.08.15.2007                                                                        7 Giyanti
33.08.15.2008                                                                        8 Kembaran
33.08.15.2009                                                                        9 Tegalsari
33.08.15.2010                                                                       10 Podosoko
33.08.15.2011                                                                       11 Tampirkulon
33.08.15.2012                                                                       12 Tempursari
33.08.15.2013                                                                       13 Kebonrejo
33.08.15.2014                                                                       14 Tampirwetan
33.08.15.2015                                                                       15 Tembelang
33.08.15.2016                                                                       16 Sonorejo
33.08.15.2017                                                                       17 Trenten
33.08.15.2018                                                                       18 Bateh
33.08.15.2019                                                                       19 Surodadi
33.08.16.2001                                                                        1 Pakis
33.08.16.2002                                                                        2 Banyusidi
33.08.16.2003                                                                        3 Losari
33.08.16.2004                                                                        4 Daseh
33.08.16.2005                                                                        5 Gumelem
33.08.16.2006                                                                        6 Kaponan
33.08.16.2007                                                                        7 Kragilan
33.08.16.2008                                                                        8 Ketundan
33.08.16.2009                                                                        9 Daleman Kidul
33.08.16.2010                                                                       10 Petung
33.08.16.2011                                                                       11 Bawang
33.08.16.2012                                                                       12 Rejosari
33.08.16.2013                                                                       13 Kajangkoso
33.08.16.2014                                                                       14 Munengwarangan
33.08.16.2015                                                                       15 Gondangsari
33.08.16.2016                                                                       16 Kenalan
33.08.16.2017                                                                       17 Pogalan
33.08.16.2018                                                                       18 Gejagan
33.08.16.2019                                                                       19 Muneng
33.08.16.2020                                                                       20 Jambewangi
33.08.17.2001                                                                        1 Ngablak
33.08.17.2002                                                                        2 Jogonayan
33.08.17.2003                                                                        3 Tejosari
33.08.17.2004                                                                        4 Sumberejo
33.08.17.2005                                                                        5 Girirejo
33.08.17.2006                                                                        6 Pandean
33.08.17.2007                                                                        7 Genikan
33.08.17.2008                                                                        8 Bandungrejo
33.08.17.2009                                                                        9 Madyogondo
33.08.17.2010                                                                       10 Jogoyasan
33.08.17.2011                                                                       11 Keditan
33.08.17.2012                                                                       12 Magersari
33.08.17.2013                                                                       13 Kanigoro
33.08.17.2014                                                                       14 Selomirah
33.08.17.2015                                                                       15 Pagergunung
33.08.17.2016                                                                       16 Seloprojo
33.08.18.2001                                                                        1 Grabag
33.08.18.2002                                                                        2 Sumurarum
33.08.18.2003                                                                        3 Banyusari
33.08.18.2004                                                                        4 Kartoharjo
33.08.18.2005                                                                        5 Sidogede
33.08.18.2006                                                                        6 Citrosono
33.08.18.2007                                                                        7 Kleteran
33.08.18.2008                                                                        8 Ngasinan
33.08.18.2009                                                                        9 Banaran
33.08.18.2010                                                                       10 Baleagung
33.08.18.2011                                                                       11 Klegen
33.08.18.2012                                                                       12 Kalikuto
33.08.18.2013                                                                       13 Kalipucang
33.08.18.2014                                                                       14 Seworan
33.08.18.2015                                                                       15 Banjarsari
33.08.18.2016                                                                       16 Sambungrejo
33.08.18.2017                                                                       17 Tlogorejo
33.08.18.2018                                                                       18 Tirto
33.08.18.2019                                                                       19 Ketawang
33.08.18.2020                                                                       20 Salam
33.08.18.2021                                                                       21 Cokro
33.08.18.2022                                                                       22 Losari
33.08.18.2023                                                                       23 Ngrancah
33.08.18.2024                                                                       24 Sugihmas
33.08.18.2025                                                                       25 Pesidi
33.08.18.2026                                                                       26 Giriwetan
33.08.18.2027                                                                       27 Pucungsari
33.08.18.2028                                                                       28 Lebak
33.08.19.2001                                                                        1 Tegalrejo
